[20210523 17:50:16 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:50:17 INFO root] CLoginServer::Run: Tick = 132 > 100
[20210523 17:50:17 INFO root] CLoginServer::Run: Tick = 126 > 100
[20210523 17:50:19 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:50:19 INFO root] CLoginServer::Run: Tick = 319 > 100
[20210523 17:50:20 INFO root] CLoginServer::Run: Tick = 270 > 100
[20210523 17:50:21 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:50:21 INFO root] CLoginServer::Run: Tick = 154 > 100
[20210523 17:50:23 INFO root] CLoginServer::Run: Tick = 191 > 100
[20210523 17:50:24 INFO root] CLoginServer::Run: Tick = 358 > 100
[20210523 17:50:24 INFO root] CLoginServer::Run: Tick = 340 > 100
[20210523 17:50:25 INFO root] server tick time = 78 [78] [0]
[20210523 17:50:25 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:50:25 INFO root] CLoginServer::Run: Tick = 144 > 100
[20210523 17:50:26 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:50:27 INFO root] CLoginServer::Run: Tick = 162 > 100
[20210523 17:50:27 INFO root] CLoginServer::Run: Tick = 322 > 100
[20210523 17:50:28 INFO root] CLoginServer::Run: Tick = 289 > 100
[20210523 17:50:28 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:50:28 INFO root] CLoginServer::Run: Tick = 150 > 100
[20210523 17:50:29 INFO root] CLoginServer::Run: Tick = 163 > 100
[20210523 17:50:29 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:50:31 INFO root] CLoginServer::Run: Tick = 196 > 100
[20210523 17:50:32 INFO root] CLoginServer::Run: Tick = 322 > 100
[20210523 17:50:33 INFO root] CLoginServer::Run: Tick = 220 > 100
[20210523 17:50:33 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:50:33 INFO root] CLoginServer::Run: Tick = 150 > 100
[20210523 17:50:33 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:50:35 INFO root] CLoginServer::Run: Tick = 113 > 100
[20210523 17:50:36 INFO root] CLoginServer::Run: Tick = 358 > 100
[20210523 17:50:36 INFO root] CLoginServer::Run: Tick = 299 > 100
[20210523 17:50:37 INFO root] CLoginServer::Run: Tick = 196 > 100
[20210523 17:50:37 INFO root] CLoginServer::Run: Tick = 150 > 100
[20210523 17:50:37 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:50:38 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:50:39 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:50:39 INFO root] CLoginServer::Run: Tick = 362 > 100
[20210523 17:50:40 INFO root] CLoginServer::Run: Tick = 133 > 100
[20210523 17:50:40 INFO root] CLoginServer::Run: Tick = 261 > 100
[20210523 17:50:40 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:50:40 INFO root] CLoginServer::Run: Tick = 124 > 100
[20210523 17:50:41 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:50:42 INFO root] CLoginServer::Run: Tick = 111 > 100
[20210523 17:50:43 INFO root] CLoginServer::Run: Tick = 356 > 100
[20210523 17:50:44 INFO root] CLoginServer::Run: Tick = 297 > 100
[20210523 17:50:44 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:50:44 INFO root] CLoginServer::Run: Tick = 190 > 100
[20210523 17:50:46 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:50:46 INFO root] CLoginServer::Run: Tick = 121 > 100
[20210523 17:50:46 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:50:47 INFO root] CLoginServer::Run: Tick = 321 > 100
[20210523 17:50:48 INFO root] CLoginServer::Run: Tick = 299 > 100
[20210523 17:50:48 INFO root] CLoginServer::Run: Tick = 119 > 100
[20210523 17:50:48 INFO root] CLoginServer::Run: Tick = 121 > 100
[20210523 17:50:49 INFO root] CLoginServer::Run: Tick = 199 > 100
[20210523 17:50:49 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:50:50 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:50:51 INFO root] CLoginServer::Run: Tick = 322 > 100
[20210523 17:50:51 INFO root] server tick time = 78 [78] [0]
[20210523 17:50:52 INFO root] CLoginServer::Run: Tick = 287 > 100
[20210523 17:50:52 INFO root] CLoginServer::Run: Tick = 119 > 100
[20210523 17:50:52 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:50:53 INFO root] CLoginServer::Run: Tick = 126 > 100
[20210523 17:50:54 INFO root] CLoginServer::Run: Tick = 121 > 100
[20210523 17:50:54 INFO root] server tick time = 118 [1] [0]
[20210523 17:50:54 INFO root] CLoginServer::Run: Tick = 162 > 100
[20210523 17:50:54 INFO root] CLoginServer::Run: Tick = 195 > 100
[20210523 17:50:55 INFO root] CLoginServer::Run: Tick = 397 > 100
[20210523 17:50:56 INFO root] CLoginServer::Run: Tick = 219 > 100
[20210523 17:50:56 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:50:56 INFO root] CLoginServer::Run: Tick = 147 > 100
[20210523 17:50:57 INFO root] CLoginServer::Run: Tick = 163 > 100
[20210523 17:50:57 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:50:58 INFO root] CLoginServer::Run: Tick = 199 > 100
[20210523 17:50:59 INFO root] CLoginServer::Run: Tick = 353 > 100
[20210523 17:50:59 INFO root] server tick time = 80 [0] [0]
[20210523 17:51:00 INFO root] CLoginServer::Run: Tick = 360 > 100
[20210523 17:51:00 INFO root] CLoginServer::Run: Tick = 115 > 100
[20210523 17:51:00 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:51:01 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:51:01 INFO root] Register GameServer Supernova [Classic](0), linux at 0.0.0.0.7002
[20210523 17:51:01 INFO root]     Data MD5 [aa4de0ceb09a5ec4367db14a691af6d6]
[20210523 17:51:01 INFO root]     Bin  MD5 [e071eadbc679eec481ea6b3482d83ca1]
[20210523 17:51:01 INFO root]     Gws  IDX [1]
[20210523 17:51:01 INFO root]     Sort IDX [1]
[20210523 17:51:01 INFO root]     List pv  [0]
[20210523 17:51:01 INFO root]     Location [18.117.3.123]
[20210523 17:51:01 INFO root]     ShowName [Supernova [Classic]]
[20210523 17:51:01 INFO root] Game server 'Supernova [Classic]'(UID=1) online. -- NEW --
[20210523 17:51:02 INFO root] CLoginServer::Run: Tick = 158 > 100
[20210523 17:51:03 INFO root] CLoginServer::Run: Tick = 356 > 100
[20210523 17:51:04 INFO root] CLoginServer::Run: Tick = 211 > 100
[20210523 17:51:04 INFO root] CLoginServer::Run: Tick = 152 > 100
[20210523 17:51:04 INFO root] CLoginServer::Run: Tick = 150 > 100
[20210523 17:51:05 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:51:06 INFO root] CLoginServer::Run: Tick = 162 > 100
[20210523 17:51:06 INFO root] CLoginServer::Run: Tick = 120 > 100
[20210523 17:51:06 INFO root] CLoginServer::Run: Tick = 241 > 100
[20210523 17:51:07 INFO root] CLoginServer::Run: Tick = 401 > 100
[20210523 17:51:07 INFO root] CLoginServer::Run: Tick = 329 > 100
[20210523 17:51:08 INFO root] CLoginServer::Run: Tick = 155 > 100
[20210523 17:51:08 INFO root] CLoginServer::Run: Tick = 154 > 100
[20210523 17:51:09 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:51:09 INFO root] CLoginServer::Run: Tick = 117 > 100
[20210523 17:51:10 INFO root] CLoginServer::Run: Tick = 155 > 100
[20210523 17:51:11 INFO root] CLoginServer::Run: Tick = 439 > 100
[20210523 17:51:11 INFO root] CLoginServer::Run: Tick = 308 > 100
[20210523 17:51:12 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:51:12 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:51:13 INFO root] CLoginServer::Run: Tick = 204 > 100
[20210523 17:51:13 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:51:15 INFO root] CLoginServer::Run: Tick = 201 > 100
[20210523 17:51:15 INFO root] CLoginServer::Run: Tick = 398 > 100
[20210523 17:51:16 INFO root] CLoginServer::Run: Tick = 349 > 100
[20210523 17:51:16 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:51:16 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:51:16 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:51:17 INFO root] CLoginServer::Run: Tick = 163 > 100
[20210523 17:51:18 INFO root] CLoginServer::Run: Tick = 163 > 100
[20210523 17:51:18 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:51:18 INFO root] CLoginServer::Run: Tick = 195 > 100
[20210523 17:51:19 INFO root] CLoginServer::Run: Tick = 399 > 100
[20210523 17:51:19 INFO root] CLoginServer::Run: Tick = 114 > 100
