recv,id,cnt,size,tick,1621671407,1621674000
base,1022,1,18,714
base,1023,1,10,681
base,1034,68,2881,32670
base,1041,2,140,1278
sys,82,2,34,1242
sys,84,5,70,3882
sys,86,7,70,5880
sysev,10,24,216,23391
sysev,19,10,130,8676
sysev,31,1,43,753
sysev,41,43,387,39645
sysev,88,1,23,648
sysev,99,14,454,10062
sysev,172,5,65,5070
sysev,241,129,1032,87794
sysev,276,1,7,753
sysev,284,1,9,864
sysev,291,21,399,17487
sysev,292,513,12312,457735
ev,17,150,1200,129981
ev,562,3,48,2571
ev,563,7,35,6015
ev,565,1732,25980,1034858
ev,572,13,182,11448
