func,call,tick
CGameCreature::RemoveUnderling,478,160031
CGameCreature::OnTeleport,4,2197
c2s_sys_event,10,4236511
CGameCreature::OnLeaveWorld,1677,10614545
CGameCreature::OnLeaveScene,1683,251048
CGameCreature::ClearUnderling,1677,228040
c2s_event,72,1360203
CItemContainer::OnTimer,2612,3134415
CGameCreature::OnTimer,5790,8302381
"User.Tick",12916,4078502
c2s_select_char,2,9733
c2s_relogin,2,82018
CGameCreature::OnShowAttribChanged,553,957620
CGameCreature::ClearEnemy,554,-23782
"FindPath",580401,4769237685
CGameCreature::OnActionEnd,597082,46514401
"SkCon.Tick.Eff",26146,143964668
"Npc.Tick",39865533,51487666225
"CreOp.Tick",39878449,3565272635
CGameCreature::OnActionBegin,597140,901841251
"Action.Tick",39878449,6584794962
"ObjAi.Tick",39878449,-2351121240
"SkCon.Tick",39878449,5692833123
Cre.Tick,39878449,47883075072
CGameWorld::CheckGridInfo,2647,3588085955
CGameWorld::TickActiveGrid,2647,121921478980
CNpcDropMgr::OnTimer,2678,167466
CGameSystemSyncSvr::OnUpdateUserData,2678,50179913
CGameWorld::Tick.TickUser,13235,68718903607
"GS.Business",13235,3586015
"GS.Chat",13235,2959537
CGameCreature::AddUnderling,585,44487
CGameCreature::OnRareShowAttribChanged,1673,1607671
CGameCreature::SetBoss,1117,11047568
CGameCreature::OnPostEnterWorld,16734,24635466
CGameCreature::OnEnterScene,16740,5333187
CGameCreature::OnEnterWorld,16734,73795053
"Npc.Spawn",137992,2837529367
CGameWorld::Tick.Sys,13235,6161249137
CGameWorld::Tick,13235,74888932224
CGameServer::TickFrame1,13235,74906009914
CGameServer::TickFrame3,13234,763689734
"Server.Run.Sleep",2236172,5974582800547
CGameServer::Tick.Other,2236173,14150612145
CGameServer::Tick.Net,2236173,1448270761
CGameWorld::Tick.DestroyObj,2236173,880784995
CGameWorld::TickNotifyGrid,13235,303623953
CGameServer::TickFrame2,13235,125830740707
CGameServer::Tick.TickFrame,2236173,203266252290
CGameServer::Tick.Base,2236173,188834739206
CGameServer::Tick,2236173,442727905818
"Server.Run",1,6427312571582
