func,call,tick
CGameCreature::OnTeleport,0,0
c2s_ghttp,0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
CGameCreature::OnRecvHp,0,0
CGameCreature::ReceiveHp,0,0
CGameCreature::RemoveUnderling,673,206591
CGameCreature::OnTimer,0,0
"SkCon.Release",0,0
c2s_sys_event,0,0
c2s_event,0,0
c2s_shortcut,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
"User.Tick",0,0
c2s_select_char,0,0
CGameCreature::OnLeaveWorld,2273,8019361
CGameCreature::OnLeaveScene,2273,298192
CGameCreature::ClearUnderling,2273,222703
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::OnShowAttribChanged,722,836542
CGameCreature::ClearEnemy,722,-35570
"FindPath",780653,7189086217
CGameCreature::OnActionEnd,782988,52699623
"SkCon.Tick.Eff",17810,16236004
"Npc.Tick",53615317,57795481640
"CreOp.Tick",53615317,3876065873
CGameCreature::OnActionBegin,782929,1035803390
"Action.Tick",53615317,8757756620
"ObjAi.Tick",53615317,-3489827590
"SkCon.Tick",53615317,5450682446
Cre.Tick,53615317,57807042911
CNpcDropMgr::OnTimer,3600,558081
CGameSystemSyncSvr::OnUpdateUserData,3600,5556205
CGameWorld::CheckGridInfo,3562,4225848380
CGameWorld::TickActiveGrid,3562,144164491954
CGameWorld::Tick.TickUser,17813,80128946269
"GS.Business",17813,1552289
"GS.Chat",17813,5175945
CGameCreature::AddUnderling,722,36868
CGameCreature::OnRareShowAttribChanged,2166,2042448
CGameCreature::SetBoss,1444,14152067
CGameCreature::OnPostEnterWorld,2276,5708052
CGameCreature::OnEnterScene,2276,1199562
CGameCreature::OnEnterWorld,2276,16186577
"Npc.Spawn",182647,2381556081
CGameWorld::Tick.Sys,17813,6396556677
CGameWorld::Tick,17813,86539164450
CGameServer::TickFrame1,17813,86563223718
CGameServer::TickFrame3,17813,566832916
"Server.Run.Sleep",3153049,8150313730205
CGameServer::Tick.Other,3153049,19264518337
CGameServer::Tick.Net,3153049,1812932467
CGameWorld::Tick.DestroyObj,3153049,1305876058
CGameWorld::TickNotifyGrid,17813,65453752
CGameServer::TickFrame2,17813,148482231118
CGameServer::Tick.TickFrame,3153049,238012867134
CGameServer::Tick.Base,3153049,168321670566
CGameServer::Tick,3153049,475211761818
"Server.Run",1,8640019347275
