recv,id,cnt,size,tick,1621620000,1621623600
base,1034,47,2041,29664
base,1041,1,262,984
sys,84,1,14,675
sys,86,1,10,993
sysev,10,8,72,6003
sysev,19,8,104,5064
sysev,41,12,108,6918
sysev,88,1,27,768
sysev,99,44,1220,32790
sysev,172,18,234,13398
sysev,241,40,320,26439
sysev,260,1,11,804
sysev,275,21,147,13128
sysev,284,6,54,4335
sysev,291,20,380,15585
sysev,292,135,3240,106997
ev,17,112,896,86294
ev,561,1,4,705
ev,562,3,48,2377
ev,563,32,160,22872
ev,565,1757,26355,994650
ev,569,1,5,714
ev,572,53,742,41272
