func,call,tick
CGameCreature::RemoveUnderling,622,290681
CGameCreature::OnTeleport,4,1508
c2s_sys_event,12,4837132
CGameCreature::OnLeaveWorld,2267,18641023
CGameCreature::OnLeaveScene,2275,485294
CGameCreature::ClearUnderling,2267,374959
c2s_event,201,3738010
CItemContainer::OnTimer,3600,4522779
CGameCreature::OnTimer,7986,11096092
"User.Tick",17793,6361977
c2s_select_char,0,0
c2s_relogin,0,0
CGameCreature::OnShowAttribChanged,722,1021780
CGameCreature::ClearEnemy,730,-34144
"FindPath",782160,7738040499
CGameCreature::OnActionEnd,784589,65872843
"SkCon.Tick.Eff",35588,202208422
"Npc.Tick",53641269,69386974780
"CreOp.Tick",53659062,5051004175
CGameCreature::OnActionBegin,784438,1191816041
"Action.Tick",53659062,10171327745
"ObjAi.Tick",53659062,-3157825061
"SkCon.Tick",53659062,7556417799
Cre.Tick,53659062,66208717128
CGameWorld::CheckGridInfo,3559,5145635771
CGameWorld::TickActiveGrid,3559,166149481831
CNpcDropMgr::OnTimer,3600,241962
CGameSystemSyncSvr::OnUpdateUserData,3600,68659136
CGameWorld::Tick.TickUser,17793,92310110067
"GS.Business",17793,5047913
"GS.Chat",17793,3917630
CGameCreature::AddUnderling,684,45870
CGameCreature::OnRareShowAttribChanged,2090,1982341
CGameCreature::SetBoss,1368,13524723
CGameCreature::OnPostEnterWorld,2274,6462329
CGameCreature::OnEnterScene,2282,1474639
CGameCreature::OnEnterWorld,2274,16157830
"Npc.Spawn",182202,2636050896
CGameWorld::Tick.Sys,17793,7096978656
CGameWorld::Tick,17793,99418689552
CGameServer::TickFrame1,17793,99441163419
CGameServer::TickFrame3,17791,1027731251
"Server.Run.Sleep",3005720,8029565839011
CGameServer::Tick.Other,3005720,19066619266
CGameServer::Tick.Net,3005720,1933531214
CGameWorld::Tick.DestroyObj,3005720,1199237465
CGameWorld::TickNotifyGrid,17794,443616428
CGameServer::TickFrame2,17794,171763450277
CGameServer::Tick.TickFrame,3005720,274623020609
CGameServer::Tick.Base,3005720,254261255678
CGameServer::Tick,3005720,597012267943
"Server.Run",1,8640095922548
