sent,id,cnt,size,ccnt,csize,1621612800,1621614416
base,20,107,1257,107,1257
base,1001,1,3,1,3
base,1002,1,583,1,583
base,1003,1,1617,1,1617
base,1013,25,20894,25,20894
base,1015,1,54,1,54
base,1016,13,299,13,299
base,1017,6,132,6,132
base,1019,1,6,1,6
base,1022,29,174,29,174
base,1026,183,13455,194,14526
sys,11,7,175,7,175
sys,12,97,24210,97,24210
sys,14,74,1620,74,1620
sys,21,6,30,6,30
sys,25,57,1197,57,1197
sys,81,1,271,1,271
sys,86,1,1273,1,1273
sys,101,1,250,1,250
sys,201,1,5,1,5
sys,301,1,18,1,18
sys,1504,1,17,1,17
ev,509,1,20,1,20
ev,510,1,7,1,7
