sent,id,cnt,size,ccnt,csize,1621616400,1621620000
base,20,844,13964,844,13964
base,1001,1,3,1,3
base,1002,1,569,1,569
base,1003,1,1567,1,1567
base,1013,93,142180,93,142180
base,1015,1,134,1,134
base,1016,866,19918,866,19918
base,1017,124,3304,163,4284
base,1019,1,6,1,6
base,1022,121,726,121,726
base,1026,2973,123521,2977,123613
sys,11,5,125,5,125
sys,12,416,99903,416,99903
sys,14,555,8306,555,8306
sys,15,33,1173,49,1663
sys,16,84,5892,84,5892
sys,17,194,2328,194,2328
sys,21,4,20,4,20
sys,22,27,459,27,459
sys,24,51,1173,51,1173
sys,25,144,3018,144,3018
sys,26,44,6167,44,6167
sys,27,1,11,1,11
sys,40,23,469,39,773
sys,81,1,289,1,289
sys,86,18,24307,18,24307
sys,101,1,250,1,250
sys,201,1,5,1,5
sys,301,1,18,1,18
sys,1504,1,17,1,17
ev,56,14,602,14,602
ev,302,45,405,60,540
ev,303,1,21,1,21
ev,369,15,360,15,360
ev,370,24,192,24,192
ev,371,24,192,24,192
ev,373,71,355,71,355
ev,509,32,640,32,640
ev,510,1,7,1,7
ev,568,1,5,1,5
