func,call,tick
CGameCreature::OnRevive,0,0
c2s_delete_char,0,0
RC_FinishTask,0,0
RC_TraceChange,0,0
RC_AcceptTask,0,0
game_system,0,0
CGameCreature::OnTimer,0,0
"SkCon.Tick.Forbid",0,0
c2s_shortcut,0,0
c2s_create_char,0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
"SkCon.Release",0,0
c2s_sys_event,0,0
CGameCreature::RemoveUnderling,663,282486
CGameCreature::OnTeleport,0,0
c2s_ghttp,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
c2s_event,0,0
"User.Tick",0,0
c2s_select_char,0,0
c2s_relogin,0,0
CGameCreature::OnLeaveWorld,2325,28799280
CGameCreature::OnLeaveScene,2325,480780
CGameCreature::ClearUnderling,2325,357696
CGameCreature::OnShowAttribChanged,722,1056496
CGameCreature::ClearEnemy,722,-13514
"FindPath",798236,7443763873
CGameCreature::OnActionEnd,800609,85831639
"SkCon.Tick.Eff",17790,25764681
"Npc.Tick",53965033,73164369371
"CreOp.Tick",53965033,6707332955
CGameCreature::OnActionBegin,800562,1384387587
"Action.Tick",53965033,10720417508
"ObjAi.Tick",53965033,-2952631711
"SkCon.Tick",53965033,9725584220
Cre.Tick,53965033,75017216336
CGameWorld::CheckGridInfo,3558,4856821734
CGameWorld::TickActiveGrid,3558,181673371778
CNpcDropMgr::OnTimer,3600,299425
CGameSystemSyncSvr::OnUpdateUserData,3600,6682281
CGameWorld::Tick.TickUser,17793,110256015707
"GS.Business",17793,4701168
"GS.Chat",17793,9575176
CGameCreature::AddUnderling,722,146155
CGameCreature::OnRareShowAttribChanged,2166,2491437
CGameCreature::SetBoss,1444,15576989
CGameCreature::OnPostEnterWorld,2326,20662400
CGameCreature::OnEnterScene,2326,7600421
CGameCreature::OnEnterWorld,2326,37385906
"Npc.Spawn",182323,2914940417
CGameWorld::Tick.Sys,17793,7583176934
CGameWorld::Tick,17793,117854878995
CGameServer::TickFrame1,17793,117879226051
CGameServer::TickFrame3,17792,892382655
"Server.Run.Sleep",2998524,8008634983893
CGameServer::Tick.Other,2998525,18528775429
CGameServer::Tick.Net,2998525,1669792515
CGameWorld::Tick.DestroyObj,2998525,1399780308
CGameWorld::TickNotifyGrid,17793,101307371
CGameServer::TickFrame2,17793,186659613742
CGameServer::Tick.TickFrame,2998525,308088991470
CGameServer::Tick.Base,2998525,242759875957
CGameServer::Tick,2998525,618132652212
"Server.Run",1,8640062267603
