func,call,tick
CGameCreature::OnRevive,0,0
c2s_delete_char,0,0
RC_FinishTask,0,0
RC_TraceChange,0,0
RC_AcceptTask,0,0
game_system,0,0
CGameCreature::OnTimer,0,0
"SkCon.Tick.Forbid",0,0
c2s_shortcut,0,0
c2s_create_char,0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
"SkCon.Release",0,0
c2s_sys_event,0,0
CGameCreature::RemoveUnderling,668,324484
CGameCreature::OnTeleport,0,0
c2s_ghttp,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
c2s_event,0,0
"User.Tick",0,0
c2s_select_char,0,0
c2s_relogin,0,0
CGameCreature::OnLeaveWorld,2326,35449757
CGameCreature::OnLeaveScene,2326,482921
CGameCreature::ClearUnderling,2326,375236
CGameCreature::OnShowAttribChanged,722,930709
CGameCreature::ClearEnemy,722,-27569
"FindPath",799609,7880608451
CGameCreature::OnActionEnd,801984,83546367
"SkCon.Tick.Eff",17790,19056441
"Npc.Tick",53982913,72847817096
"CreOp.Tick",53982913,6667050368
CGameCreature::OnActionBegin,801933,1350540486
"Action.Tick",53982913,11104693652
"ObjAi.Tick",53982913,-2974163719
"SkCon.Tick",53982913,9872359046
Cre.Tick,53982913,75274246223
CGameWorld::CheckGridInfo,3558,4831843530
CGameWorld::TickActiveGrid,3558,181403923031
CNpcDropMgr::OnTimer,3600,175092
CGameSystemSyncSvr::OnUpdateUserData,3600,7000388
CGameWorld::Tick.TickUser,17793,111089000855
"GS.Business",17793,4604374
"GS.Chat",17793,9361384
CGameCreature::AddUnderling,722,127414
CGameCreature::OnRareShowAttribChanged,2166,2506065
CGameCreature::SetBoss,1444,16584713
CGameCreature::OnPostEnterWorld,2324,6692074
CGameCreature::OnEnterScene,2324,1252855
CGameCreature::OnEnterWorld,2324,21363922
"Npc.Spawn",182338,2720652923
CGameWorld::Tick.Sys,17793,7427540117
CGameWorld::Tick,17793,118533092832
CGameServer::TickFrame1,17793,118558718199
CGameServer::TickFrame3,17792,677599241
"Server.Run.Sleep",2989638,8007460391900
CGameServer::Tick.Other,2989638,18578667621
CGameServer::Tick.Net,2989638,1660238173
CGameWorld::Tick.DestroyObj,2989638,1399123066
CGameWorld::TickNotifyGrid,17793,85735398
CGameServer::TickFrame2,17793,186345957250
CGameServer::Tick.TickFrame,2989638,308238717383
CGameServer::Tick.Base,2989638,243673238776
CGameServer::Tick,2989638,619221160774
"Server.Run",1,8640062142227
