sent,id,cnt,size,ccnt,csize,1621587600,1621591200
base,20,89,1091,89,1091
base,1001,1,3,1,3
base,1002,1,365,1,365
base,1003,1,1159,1,1159
base,1015,1,134,1,134
base,1017,5,102,5,102
base,1019,1,6,1,6
base,1022,50,300,50,300
base,1026,277,20799,277,20799
sys,11,13,325,13,325
sys,12,42,14800,42,14800
sys,14,36,932,36,932
sys,21,12,60,12,60
sys,25,99,2079,99,2079
sys,81,1,271,1,271
sys,101,1,250,1,250
sys,201,1,5,1,5
sys,301,1,18,1,18
sys,1504,1,17,1,17
ev,373,2,10,2,10
ev,509,1,20,1,20
ev,510,1,7,1,7
ev,557,1,8,1,8
