func,call,tick
CGameCreature::OnTeleport,1,218
c2s_ghttp,9,8922003
CGameCreature::RemoveEnemy,16,7550
CGameCreature::OnDead,16,3745262
CGSGuildWarSvr::Event_CreatureKill,16,845
CGameCreature::OnKill,16,132848
CGameCreature::Die,16,3938450
CGameCreature::OnRecvDamage,16,52394
CGameCreature::ReceiveDamage,16,5672708
CGameCreature::ApplyDamage,16,4769
CGameCreature::AddEnemy,48,6375
CGameCreature::OnBeAttacked,16,97775
"CGsBattleSvr::Event_CreAttack",16,1700
CGameCreature::OnDoAttack,16,58646
CGameCreature::OnRecvHp,1,4916
CGameCreature::ReceiveHp,1,5747
CGameCreature::RemoveUnderling,143,36076
CGameCreature::OnTimer,84,8855114
"SkCon.Release",40,4468355
c2s_sys_event,89,438210667
c2s_event,643,20680440
c2s_shortcut,3,44148
CItemContainer::OnTimer,898,1046604
CGameCreature::OnTimer,2072,19970572
"User.Tick",4365,670257
c2s_select_char,1,4889
CGameCreature::OnLeaveWorld,556,2039774
CGameCreature::OnLeaveScene,556,75848
CGameCreature::ClearUnderling,556,44648
c2s_create_char,1,29822
c2s_relogin,1,69152
CGameCreature::OnShowAttribChanged,585,17563929
CGameCreature::ClearEnemy,205,-8554
"FindPath",200518,2254677407
CGameCreature::OnActionEnd,216300,12530369
"SkCon.Tick.Eff",14122,75373031
"Npc.Tick",13769770,20145583793
"CreOp.Tick",13774135,995159708
CGameCreature::OnActionBegin,216164,385272736
"Action.Tick",13774135,3391311816
"ObjAi.Tick",13774135,-517655514
"SkCon.Tick",13774135,2427634690
Cre.Tick,13774135,19648110908
CNpcDropMgr::OnTimer,941,158699
CGameSystemSyncSvr::OnUpdateUserData,941,51518586
CGameWorld::CheckGridInfo,914,1172688895
CGameWorld::TickActiveGrid,914,47520992162
CGameWorld::Tick.TickUser,4547,22254795641
"GS.Business",4547,725886
"GS.Chat",4547,1161750
CGameCreature::AddUnderling,205,16793
CGameCreature::OnRareShowAttribChanged,573,764937
CGameCreature::SetBoss,357,3887655
CGameCreature::OnPostEnterWorld,15613,30768947
CGameCreature::OnEnterScene,15613,4941740
CGameCreature::OnEnterWorld,15613,84448805
"Npc.Spawn",51547,2604161989
CGameWorld::Tick.Sys,4547,3737247158
CGameWorld::Tick,4547,25995019879
CGameServer::TickFrame1,4547,26001193712
CGameServer::TickFrame3,4539,271663115
"Server.Run.Sleep",718834,2098693083300
CGameServer::Tick.Other,718851,4622518928
CGameServer::Tick.Net,718851,468839295
CGameWorld::Tick.DestroyObj,718851,311520449
CGameWorld::TickNotifyGrid,4558,328353465
CGameServer::TickFrame2,4558,49028142381
CGameServer::Tick.TickFrame,718851,75904692073
CGameServer::Tick.Base,718851,62750660793
CGameServer::Tick,718851,155233724495
"Server.Run",1,2257250727665
