func,call,tick
CGameCreature::OnRevive,0,0
c2s_delete_char,0,0
RC_FinishTask,0,0
RC_TraceChange,0,0
RC_AcceptTask,0,0
game_system,0,0
CGameCreature::OnTimer,0,0
"SkCon.Tick.Forbid",0,0
c2s_shortcut,0,0
c2s_create_char,0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
"SkCon.Release",0,0
c2s_sys_event,0,0
CGameCreature::RemoveUnderling,648,264828
CGameCreature::OnTeleport,0,0
c2s_ghttp,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
c2s_event,0,0
"User.Tick",0,0
c2s_select_char,0,0
c2s_relogin,0,0
CGameCreature::OnLeaveWorld,2274,26163024
CGameCreature::OnLeaveScene,2274,359658
CGameCreature::ClearUnderling,2274,383262
CGameCreature::OnShowAttribChanged,722,1000285
CGameCreature::ClearEnemy,722,-28181
"FindPath",799413,8053317096
CGameCreature::OnActionEnd,801742,85345970
"SkCon.Tick.Eff",17795,19954039
"Npc.Tick",53984675,72895068739
"CreOp.Tick",53984675,6715575271
CGameCreature::OnActionBegin,801693,1350237012
"Action.Tick",53984675,11276084611
"ObjAi.Tick",53984675,-2961457637
"SkCon.Tick",53984675,9741496210
Cre.Tick,53984675,75442853215
CGameWorld::CheckGridInfo,3559,4834169207
CGameWorld::TickActiveGrid,3559,181672919261
CNpcDropMgr::OnTimer,3600,209765
CGameSystemSyncSvr::OnUpdateUserData,3600,7014310
CGameWorld::Tick.TickUser,17792,110445038036
"GS.Business",17792,4758975
"GS.Chat",17792,9629025
CGameCreature::AddUnderling,722,44542
CGameCreature::OnRareShowAttribChanged,2166,2557698
CGameCreature::SetBoss,1444,15840326
CGameCreature::OnPostEnterWorld,2280,6585998
CGameCreature::OnEnterScene,2280,1269026
CGameCreature::OnEnterWorld,2280,20714904
"Npc.Spawn",182281,2710701864
CGameWorld::Tick.Sys,17792,7382692570
CGameWorld::Tick,17792,117844043596
CGameServer::TickFrame1,17792,117868860447
CGameServer::TickFrame3,17791,676895774
"Server.Run.Sleep",2999572,8009130967856
CGameServer::Tick.Other,2999572,18511113196
CGameServer::Tick.Net,2999572,1664988334
CGameWorld::Tick.DestroyObj,2999572,1370129967
CGameWorld::TickNotifyGrid,17793,92688574
CGameServer::TickFrame2,17793,186626152444
CGameServer::Tick.TickFrame,2999572,307799739022
CGameServer::Tick.Base,2999572,242691393551
CGameServer::Tick,2999572,617593480951
"Server.Run",1,8640017781839
