func,call,tick
CGameCreature::OnTeleport,0,0
c2s_ghttp,0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
CGameCreature::OnRecvHp,0,0
CGameCreature::ReceiveHp,0,0
CGameCreature::RemoveUnderling,661,199385
CGameCreature::OnTimer,0,0
"SkCon.Release",4,102374
c2s_sys_event,13,4652369
c2s_event,186,3781143
c2s_shortcut,0,0
CItemContainer::OnTimer,2945,3204887
CGameCreature::OnTimer,6530,8024867
"User.Tick",14571,1971564
c2s_select_char,1,4319
CGameCreature::OnLeaveWorld,2328,8042094
CGameCreature::OnLeaveScene,2340,462969
CGameCreature::ClearUnderling,2328,207294
c2s_create_char,0,0
c2s_relogin,1,46556
CGameCreature::OnShowAttribChanged,725,840736
CGameCreature::ClearEnemy,735,-36048
"FindPath",780610,6653672432
CGameCreature::OnActionEnd,782983,52977818
"SkCon.Tick.Eff",32381,125846530
"Npc.Tick",53734739,58839694811
"CreOp.Tick",53749310,3901264823
CGameCreature::OnActionBegin,782938,1069610582
"Action.Tick",53749310,8368545496
"ObjAi.Tick",53749310,-3457701678
"SkCon.Tick",53749310,5771431249
Cre.Tick,53749310,58399629266
CNpcDropMgr::OnTimer,3600,550793
CGameSystemSyncSvr::OnUpdateUserData,3600,54760550
CGameWorld::CheckGridInfo,3562,4289288792
CGameWorld::TickActiveGrid,3562,145464207320
CGameWorld::Tick.TickUser,17806,81379305237
"GS.Business",17806,1888923
"GS.Chat",17806,5191181
CGameCreature::AddUnderling,722,72169
CGameCreature::OnRareShowAttribChanged,2168,1970680
CGameCreature::SetBoss,1444,13709249
CGameCreature::OnPostEnterWorld,2327,6180850
CGameCreature::OnEnterScene,2339,1248895
CGameCreature::OnEnterWorld,2327,15923572
"Npc.Spawn",182484,2416519766
CGameWorld::Tick.Sys,17806,6580870182
CGameWorld::Tick,17806,87972690152
CGameServer::TickFrame1,17806,87997129356
CGameServer::TickFrame3,17805,717708356
"Server.Run.Sleep",3143795,8104823778337
CGameServer::Tick.Other,3143795,19499840086
CGameServer::Tick.Net,3143795,1952831040
CGameWorld::Tick.DestroyObj,3143795,1299879360
CGameWorld::TickNotifyGrid,17807,580504827
CGameServer::TickFrame2,17807,150360600114
CGameServer::Tick.TickFrame,3143795,241530574504
CGameServer::Tick.Base,3143795,210082260067
CGameServer::Tick,3143795,520993223244
"Server.Run",1,8640238576685
