func,call,tick
CGameCreature::OnTeleport,0,0
c2s_ghttp,0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
CGameCreature::OnRecvHp,0,0
CGameCreature::ReceiveHp,0,0
CGameCreature::RemoveUnderling,654,286371
CGameCreature::OnTimer,0,0
"SkCon.Release",0,0
c2s_sys_event,0,0
c2s_event,0,0
c2s_shortcut,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
"User.Tick",0,0
c2s_select_char,0,0
CGameCreature::OnLeaveWorld,2275,8029184
CGameCreature::OnLeaveScene,2275,386960
CGameCreature::ClearUnderling,2275,218663
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::OnShowAttribChanged,722,848674
CGameCreature::ClearEnemy,722,-5432
"FindPath",780302,7347508444
CGameCreature::OnActionEnd,782625,51423423
"SkCon.Tick.Eff",17810,16061017
"Npc.Tick",53616179,57729540958
"CreOp.Tick",53616179,3874779157
CGameCreature::OnActionBegin,782576,1033606585
"Action.Tick",53616179,8908260025
"ObjAi.Tick",53616179,-3469955834
"SkCon.Tick",53616179,5508885373
Cre.Tick,53616179,57980661070
CNpcDropMgr::OnTimer,3600,557747
CGameSystemSyncSvr::OnUpdateUserData,3600,5440004
CGameWorld::CheckGridInfo,3562,4228945271
CGameWorld::TickActiveGrid,3562,144238046732
CGameWorld::Tick.TickUser,17815,80244657140
"GS.Business",17815,1544690
"GS.Chat",17815,5044793
CGameCreature::AddUnderling,722,35440
CGameCreature::OnRareShowAttribChanged,2166,2125062
CGameCreature::SetBoss,1444,14010992
CGameCreature::OnPostEnterWorld,2274,5977473
CGameCreature::OnEnterScene,2274,1119379
CGameCreature::OnEnterWorld,2274,17966199
"Npc.Spawn",182561,2386455121
CGameWorld::Tick.Sys,17815,6387064497
CGameWorld::Tick,17815,86645715626
CGameServer::TickFrame1,17815,86670126365
CGameServer::TickFrame3,17813,559377847
"Server.Run.Sleep",3153845,8150043322964
CGameServer::Tick.Other,3153845,19273657233
CGameServer::Tick.Net,3153845,1810041432
CGameWorld::Tick.DestroyObj,3153845,1304989687
CGameWorld::TickNotifyGrid,17814,62011223
CGameServer::TickFrame2,17814,148554842583
CGameServer::Tick.TickFrame,3153845,238183401077
CGameServer::Tick.Base,3153845,168417836014
CGameServer::Tick,3153845,475517488445
"Server.Run",1,8640054527072
