recv,id,cnt,size,tick,1621616400,1621620000
base,1022,1,18,1485
base,1023,1,10,891
base,1034,34,1415,21117
sysev,10,1,9,747
sysev,41,1,9,693
sysev,86,9,81,6784
sysev,87,2,18,1446
sysev,90,6,30,3948
sysev,99,93,2837,70716
sysev,101,2,10,1434
sysev,105,2,10,1161
sysev,109,2,18,1452
sysev,141,17,136,13194
sysev,172,25,325,21214
sysev,177,1,9,873
sysev,178,1,5,816
sysev,186,4,20,19698
sysev,189,1,9,807
sysev,207,1,5,1000
sysev,228,1,11,696
sysev,234,5,45,3993
sysev,241,35,280,22728
sysev,260,1,11,747
sysev,275,2,14,1350
sysev,284,14,126,11286
sysev,291,112,2128,87711
sysev,292,12,288,8691
ev,17,94,752,67140
ev,561,1,4,678
ev,562,1,16,708
ev,563,4,20,3010
ev,565,1354,20310,828787
ev,572,77,1078,56375
