func,call,tick
CGameCreature::OnRevive,1,104156
c2s_delete_char,0,0
RC_FinishTask,0,0
RC_TraceChange,0,0
RC_AcceptTask,0,0
game_system,0,0
CGameCreature::OnTimer,150,23412313
"SkCon.Tick.Forbid",129,190729
c2s_shortcut,0,0
c2s_create_char,0,0
CGameCreature::RemoveEnemy,19,14588
CGameCreature::OnDead,15,24674988
CGSGuildWarSvr::Event_CreatureKill,15,3540
CGameCreature::OnKill,15,1632399
CGameCreature::Die,15,26390043
CGameCreature::OnRecvDamage,51,286038
CGameCreature::ReceiveDamage,51,26785953
CGameCreature::ApplyDamage,51,24330
CGameCreature::AddEnemy,153,99492
CGameCreature::OnBeAttacked,51,719841
"CGsBattleSvr::Event_CreAttack",51,3200727
CGameCreature::OnDoAttack,51,3412968
"SkCon.Release",255,32310471
c2s_sys_event,350,461398864
CGameCreature::RemoveUnderling,654,251151
CGameCreature::OnTeleport,11,31630
c2s_ghttp,34,83051750
CItemContainer::OnTimer,7240,4628897
CGameCreature::OnTimer,16208,32992904
c2s_event,1531,109345828
"User.Tick",35786,4957258
c2s_select_char,1,4982
c2s_relogin,1,41789
CGameCreature::OnLeaveWorld,2347,10529807
CGameCreature::OnLeaveScene,2351,358399
CGameCreature::ClearUnderling,2347,352619
CGameCreature::OnShowAttribChanged,1107,20313423
CGameCreature::ClearEnemy,716,-26912
"FindPath",781421,7014830660
CGameCreature::OnActionEnd,784257,83387657
"SkCon.Tick.Eff",60238,800927203
"Npc.Tick",53764264,72615948179
"CreOp.Tick",53800050,6688025699
CGameCreature::OnActionBegin,784005,1387559175
"Action.Tick",53800050,10233941463
"ObjAi.Tick",53800050,-2918896512
"SkCon.Tick",53800050,10627368279
Cre.Tick,53800050,75227336375
CGameWorld::CheckGridInfo,3559,4774991402
CGameWorld::TickActiveGrid,3559,179184459419
CNpcDropMgr::OnTimer,3600,173806
CGameSystemSyncSvr::OnUpdateUserData,3600,149655961
CGameWorld::Tick.TickUser,17794,111567296898
"GS.Business",17794,4667408
"GS.Chat",17794,8199822
CGameCreature::AddUnderling,732,58908
CGameCreature::OnRareShowAttribChanged,2188,2875150
CGameCreature::SetBoss,1458,15094938
CGameCreature::OnPostEnterWorld,2464,7099652
CGameCreature::OnEnterScene,2468,1438868
CGameCreature::OnEnterWorld,2464,19854418
"Npc.Spawn",182350,2702404146
CGameWorld::Tick.Sys,17794,7358352436
CGameWorld::Tick,17794,118940070258
CGameServer::TickFrame1,17794,118965640979
CGameServer::TickFrame3,17792,1101471794
"Server.Run.Sleep",2992214,7981652326016
CGameServer::Tick.Other,2992214,18641038017
CGameServer::Tick.Net,2992214,2114992386
CGameWorld::Tick.DestroyObj,2992214,1364801961
CGameWorld::TickNotifyGrid,17795,1116447317
CGameServer::TickFrame2,17795,185102696146
CGameServer::Tick.TickFrame,2992214,307791825423
CGameServer::Tick.Base,2992214,268719422833
CGameServer::Tick,2992214,644940649064
"Server.Run",1,8639991242045
