sent,id,cnt,size,ccnt,csize,1621614447,1621616400
base,20,1927,29113,1927,29113
base,1001,4,12,4,12
base,1002,7,1594,7,1594
base,1003,4,3514,4,3514
base,1005,2,6,2,6
base,1013,120,159953,120,159953
base,1015,4,200,4,200
base,1016,1086,24978,1396,32108
base,1017,104,2746,139,3736
base,1019,4,24,4,24
base,1021,361,2574,662,4762
base,1022,70,420,70,420
base,1026,1239,61069,1251,61292
sys,11,8,200,8,200
sys,12,758,171649,758,171649
sys,14,1020,14300,1020,14300
sys,15,11,170,13,286
sys,16,19,612,21,639
sys,17,631,7572,783,9396
sys,21,4,20,4,20
sys,22,8,115,8,115
sys,24,44,1012,59,1357
sys,25,68,1398,68,1398
sys,26,18,3177,18,3177
sys,27,1,11,1,11
sys,28,1,5,1,5
sys,40,3,71,5,111
sys,81,10,2842,10,2842
sys,82,3,27,3,27
sys,83,3,27,3,27
sys,86,25,32533,25,32533
sys,101,4,1000,4,1000
sys,201,4,20,4,20
sys,209,2,14,2,14
sys,301,4,72,4,72
sys,1504,4,68,4,68
ev,42,2,8,2,8
ev,56,5,215,5,215
ev,301,2,18,2,18
ev,302,200,1800,299,2691
ev,369,5,120,5,120
ev,370,22,176,28,224
ev,371,17,136,27,216
ev,373,78,390,78,390
ev,509,203,4060,203,4060
ev,510,4,28,4,28
ev,557,20,160,20,160
ev,564,2,36,2,36
