func,call,tick
CGameCreature::OnRevive,1,105896
c2s_delete_char,0,0
RC_FinishTask,0,0
RC_TraceChange,1,1757
RC_AcceptTask,1,478175
game_system,2,502678
CGameCreature::OnTimer,0,0
"SkCon.Tick.Forbid",476,2092212
c2s_shortcut,1,26942
c2s_create_char,0,0
CGameCreature::RemoveEnemy,164,155224
CGameCreature::OnDead,125,91884013
CGSGuildWarSvr::Event_CreatureKill,125,4891
CGameCreature::OnKill,125,717265
CGameCreature::Die,125,93137575
CGameCreature::OnRecvDamage,548,2694703
CGameCreature::ReceiveDamage,550,97545957
CGameCreature::ApplyDamage,540,233316
CGameCreature::AddEnemy,1692,763467
CGameCreature::OnBeAttacked,572,7589960
"CGsBattleSvr::Event_CreAttack",572,10863038
CGameCreature::OnDoAttack,572,13534783
"SkCon.Release",879,55726677
c2s_sys_event,314,302373929
CGameCreature::RemoveUnderling,640,244736
CGameCreature::OnTeleport,14,5839
c2s_ghttp,47,135344880
CItemContainer::OnTimer,4849,3678530
CGameCreature::OnTimer,10755,19125978
c2s_event,1959,114746048
"User.Tick",23974,4355027
c2s_select_char,0,0
c2s_relogin,0,0
CGameCreature::OnLeaveWorld,2930,26553517
CGameCreature::OnLeaveScene,2946,569496
CGameCreature::ClearUnderling,2930,425761
CGameCreature::OnShowAttribChanged,1850,10990455
CGameCreature::ClearEnemy,893,-6086
"FindPath",818173,8461715211
CGameCreature::OnActionEnd,822446,88965787
"SkCon.Tick.Eff",42082,689208563
"Npc.Tick",54413106,73560592201
"CreOp.Tick",54437080,6750492125
CGameCreature::OnActionBegin,821808,1458463933
"Action.Tick",54437080,11965410227
"ObjAi.Tick",54437080,-2946350377
"SkCon.Tick",54437080,10683743353
Cre.Tick,54437080,77630288283
CGameWorld::CheckGridInfo,3559,4855759910
CGameWorld::TickActiveGrid,3559,183017019259
CNpcDropMgr::OnTimer,3600,238833
CGameSystemSyncSvr::OnUpdateUserData,3600,160268763
CGameWorld::Tick.TickUser,17796,112984658307
"GS.Business",17796,4666985
"GS.Chat",17796,8601751
CGameCreature::AddUnderling,709,101459
CGameCreature::OnRareShowAttribChanged,2304,4110900
CGameCreature::SetBoss,1419,14958513
CGameCreature::OnPostEnterWorld,2924,7243669
CGameCreature::OnEnterScene,2940,1694520
CGameCreature::OnEnterWorld,2924,21934660
"Npc.Spawn",182827,2759895026
CGameWorld::Tick.Sys,17796,7456180847
CGameWorld::Tick,17796,120455548400
CGameServer::TickFrame1,17796,120480649280
CGameServer::TickFrame3,17792,1062370255
"Server.Run.Sleep",2989853,7985763870082
CGameServer::Tick.Other,2989853,18581795144
CGameServer::Tick.Net,2989853,1974616600
CGameWorld::Tick.DestroyObj,2989853,1396475210
CGameWorld::TickNotifyGrid,17795,1074998039
CGameServer::TickFrame2,17795,188973877338
CGameServer::Tick.TickFrame,2989853,313168145415
CGameServer::Tick.Base,2989853,259873166055
CGameServer::Tick,2989853,640937103842
"Server.Run",1,8640056383298
