func,call,tick
CGameCreature::OnTeleport,0,0
c2s_ghttp,16,11577311
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
CGameCreature::OnRecvHp,0,0
CGameCreature::ReceiveHp,0,0
CGameCreature::RemoveUnderling,666,208437
CGameCreature::OnTimer,205,29915126
"SkCon.Release",0,0
c2s_sys_event,13,234731525
c2s_event,137,27035344
c2s_shortcut,0,0
CItemContainer::OnTimer,2054,2149813
CGameCreature::OnTimer,4764,6006070
"User.Tick",10158,1357683
c2s_select_char,0,0
CGameCreature::OnLeaveWorld,2276,12392515
CGameCreature::OnLeaveScene,2276,290209
CGameCreature::ClearUnderling,2276,196561
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::OnShowAttribChanged,743,1036195
CGameCreature::ClearEnemy,723,-37113
"FindPath",780670,6992975081
CGameCreature::OnActionEnd,783011,53507218
"SkCon.Tick.Eff",38114,201686261
"Npc.Tick",53651495,60034626645
"CreOp.Tick",53661653,3902492793
CGameCreature::OnActionBegin,782945,1119335233
"Action.Tick",53661653,8893769221
"ObjAi.Tick",53661653,-3371045684
"SkCon.Tick",53661653,6216345998
Cre.Tick,53661653,59704737353
CNpcDropMgr::OnTimer,3600,629350
CGameSystemSyncSvr::OnUpdateUserData,3600,42770314
CGameWorld::CheckGridInfo,3560,4327264111
CGameWorld::TickActiveGrid,3560,148127424847
CGameWorld::Tick.TickUser,17800,83113878349
"GS.Business",17800,2622014
"GS.Chat",17800,5070825
CGameCreature::AddUnderling,722,135736
CGameCreature::OnRareShowAttribChanged,2167,2102156
CGameCreature::SetBoss,1444,13857788
CGameCreature::OnPostEnterWorld,2275,5787167
CGameCreature::OnEnterScene,2275,1168724
CGameCreature::OnEnterWorld,2275,15239000
"Npc.Spawn",185032,2477852194
CGameWorld::Tick.Sys,17800,6895383005
CGameWorld::Tick,17800,90022200988
CGameServer::TickFrame1,17800,90047443467
CGameServer::TickFrame3,17800,751359693
"Server.Run.Sleep",3133408,8047855103419
CGameServer::Tick.Other,3133408,19833383510
CGameServer::Tick.Net,3133408,1854967790
CGameWorld::Tick.DestroyObj,3133408,1302044366
CGameWorld::TickNotifyGrid,17800,395033663
CGameServer::TickFrame2,17800,152874165912
CGameServer::Tick.TickFrame,3133408,246228594328
CGameServer::Tick.Base,3133408,261966038934
CGameServer::Tick,3133408,577773713189
"Server.Run",1,8640028236914
