recv,id,cnt,size,tick,1621555200,1621558800
base,1022,1,18,768
base,1023,1,10,510
base,1024,1,15,615
base,1025,1,10,1161
base,1034,26,1071,15162
base,1041,3,402,2100
sys,82,3,51,2472
sys,84,3,42,1944
sys,86,6,60,4146
sysev,10,4,36,2619
sysev,19,4,52,1926
sysev,41,10,90,6294
sysev,99,28,1146,19734
sysev,172,40,520,26331
sysev,241,55,440,42366
sysev,260,5,55,3528
sysev,286,30,690,19527
sysev,291,54,1026,36132
sysev,292,59,1416,36003
ev,17,53,424,33142
ev,563,6,30,4017
ev,565,468,7020,320059
ev,569,1,5,645
ev,572,12,168,9615
