func,call,tick
c2s_delete_char,1,4403
RC_FinishTask,3,7498995
RC_TraceChange,6,15474
RC_AcceptTask,3,1127109
game_system,12,8774923
CGameCreature::OnTimer,85,19966723
"SkCon.Tick.Forbid",48,739089
c2s_shortcut,3,59565
c2s_create_char,2,99004
CGameCreature::RemoveEnemy,15,14958
CGameCreature::OnDead,5,6061171
CGSGuildWarSvr::Event_CreatureKill,5,100
CGameCreature::OnKill,5,1851016
CGameCreature::Die,5,7934296
CGameCreature::OnRecvDamage,39,1911284
CGameCreature::ReceiveDamage,42,9944514
CGameCreature::ApplyDamage,42,19130
CGameCreature::AddEnemy,133,42461
CGameCreature::OnBeAttacked,47,413310
"CGsBattleSvr::Event_CreAttack",47,353792
CGameCreature::OnDoAttack,47,572931
"SkCon.Release",164,11470144
c2s_sys_event,110,83842637
CGameCreature::RemoveUnderling,348,124305
CGameCreature::OnTeleport,13,5105
c2s_ghttp,42,60694962
CItemContainer::OnTimer,4257,3421789
CGameCreature::OnTimer,9519,57444951
c2s_event,2779,140766277
"User.Tick",21047,2827030
c2s_select_char,4,23597
c2s_relogin,4,177575
CGameCreature::OnLeaveWorld,1350,9409200
CGameCreature::OnLeaveScene,1354,313487
CGameCreature::ClearUnderling,1350,271731
CGameCreature::OnShowAttribChanged,1985,48865135
CGameCreature::ClearEnemy,472,-11545
"FindPath",423266,3434209429
CGameCreature::OnActionEnd,440543,45371382
"SkCon.Tick.Eff",31964,261963390
"Npc.Tick",29029519,38701137356
"CreOp.Tick",29050566,3564436524
CGameCreature::OnActionBegin,439767,809312407
"Action.Tick",29050566,5298076730
"ObjAi.Tick",29050566,-1565366462
"SkCon.Tick",29050566,5512999057
Cre.Tick,29050566,40166138133
CGameWorld::CheckGridInfo,1920,2385354768
CGameWorld::TickActiveGrid,1920,95674021654
CNpcDropMgr::OnTimer,1942,190092
CGameSystemSyncSvr::OnUpdateUserData,1942,147293552
CGameWorld::Tick.TickUser,9598,60009904025
"GS.Business",9598,2565934
"GS.Chat",9598,4357902
CGameCreature::AddUnderling,433,55664
CGameCreature::OnRareShowAttribChanged,1279,1540901
CGameCreature::SetBoss,813,8263068
CGameCreature::OnPostEnterWorld,16410,26914552
CGameCreature::OnEnterScene,16414,5078677
CGameCreature::OnEnterWorld,16410,82648377
"Npc.Spawn",100589,2291866385
CGameWorld::Tick.Sys,9598,4792037069
CGameWorld::Tick,9598,64809328452
CGameServer::TickFrame1,9598,64822771203
CGameServer::TickFrame3,9597,827167552
"Server.Run.Sleep",1616513,4305881882069
CGameServer::Tick.Other,1616514,10006713684
CGameServer::Tick.Net,1616514,1190468462
CGameWorld::Tick.DestroyObj,1616514,729464854
CGameWorld::TickNotifyGrid,9598,668711160
CGameServer::TickFrame2,9598,98743542895
CGameServer::Tick.TickFrame,1616514,165800867126
CGameServer::Tick.Base,1616514,146055692390
CGameServer::Tick,1616514,348577570810
"Server.Run",1,4661650982669
