recv,id,cnt,size,tick,1621614447,1621616400
base,1022,4,72,3687
base,1023,4,40,3681
base,1024,2,36,2097
base,1025,1,10,1641
base,1034,42,1813,26181
base,1041,3,386,3120
sys,82,3,51,2085
sys,84,3,42,2109
sys,86,6,60,6305
sysev,88,2,62,1494
sysev,99,24,711,19491
sysev,111,1,13,789
sysev,113,1,5,705
sysev,116,1,15,729
sysev,172,1,13,738
sysev,234,6,54,4080
sysev,260,22,242,2463
sysev,275,1,7,351
sysev,291,22,418,17355
sysev,292,29,696,21766
ev,17,123,984,90816
ev,562,2,32,1488
ev,563,7,35,5026
ev,565,2613,39195,1401059
ev,572,34,476,25602
