func,call,tick
CGameCreature::OnTeleport,0,0
c2s_ghttp,0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
CGameCreature::OnRecvHp,0,0
CGameCreature::ReceiveHp,0,0
CGameCreature::RemoveUnderling,662,239596
CGameCreature::OnTimer,0,0
"SkCon.Release",0,0
c2s_sys_event,0,0
c2s_event,0,0
c2s_shortcut,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
"User.Tick",0,0
c2s_select_char,0,0
CGameCreature::OnLeaveWorld,2326,8195147
CGameCreature::OnLeaveScene,2326,305879
CGameCreature::ClearUnderling,2326,212528
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::OnShowAttribChanged,722,843793
CGameCreature::ClearEnemy,722,-30932
"FindPath",782142,6961331376
CGameCreature::OnActionEnd,784507,52565915
"SkCon.Tick.Eff",17815,16755755
"Npc.Tick",53630108,57857499280
"CreOp.Tick",53630108,3876227923
CGameCreature::OnActionBegin,784466,1036432930
"Action.Tick",53630108,8541992920
"ObjAi.Tick",53630108,-3475812938
"SkCon.Tick",53630108,5529022708
Cre.Tick,53630108,57695330554
CNpcDropMgr::OnTimer,3600,563737
CGameSystemSyncSvr::OnUpdateUserData,3600,5478207
CGameWorld::CheckGridInfo,3563,4220460616
CGameWorld::TickActiveGrid,3563,144152372495
CGameWorld::Tick.TickUser,17812,79934457168
"GS.Business",17812,1613231
"GS.Chat",17812,5467549
CGameCreature::AddUnderling,722,90130
CGameCreature::OnRareShowAttribChanged,2166,2151537
CGameCreature::SetBoss,1444,13731725
CGameCreature::OnPostEnterWorld,2324,6009889
CGameCreature::OnEnterScene,2324,1294381
CGameCreature::OnEnterWorld,2324,17857447
"Npc.Spawn",182613,2383831863
CGameWorld::Tick.Sys,17812,6408887191
CGameWorld::Tick,17812,86356880234
CGameServer::TickFrame1,17812,86380831900
CGameServer::TickFrame3,17812,568615755
"Server.Run.Sleep",3150517,8150205868165
CGameServer::Tick.Other,3150517,19287524381
CGameServer::Tick.Net,3150517,1816950670
CGameWorld::Tick.DestroyObj,3150517,1308800959
CGameWorld::TickNotifyGrid,17812,65587088
CGameServer::TickFrame2,17812,148465048382
CGameServer::Tick.TickFrame,3150517,237823000393
CGameServer::Tick.Base,3150517,168552430323
CGameServer::Tick,3150517,475323944159
"Server.Run",1,8640042824750
