func,call,tick
CGameCreature::OnRevive,0,0
c2s_delete_char,0,0
RC_FinishTask,0,0
RC_TraceChange,0,0
RC_AcceptTask,0,0
game_system,0,0
CGameCreature::OnTimer,0,0
"SkCon.Tick.Forbid",0,0
c2s_shortcut,0,0
c2s_create_char,0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
"SkCon.Release",0,0
c2s_sys_event,0,0
CGameCreature::RemoveUnderling,657,303018
CGameCreature::OnTeleport,0,0
c2s_ghttp,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
c2s_event,0,0
"User.Tick",0,0
c2s_select_char,0,0
c2s_relogin,0,0
CGameCreature::OnLeaveWorld,2269,34633955
CGameCreature::OnLeaveScene,2269,323120
CGameCreature::ClearUnderling,2269,384434
CGameCreature::OnShowAttribChanged,720,926928
CGameCreature::ClearEnemy,720,-27120
"FindPath",800154,7962824733
CGameCreature::OnActionEnd,802464,83858469
"SkCon.Tick.Eff",17795,20126461
"Npc.Tick",53998201,72168741392
"CreOp.Tick",53998201,6422296019
CGameCreature::OnActionBegin,802424,1337517769
"Action.Tick",53998201,11138171156
"ObjAi.Tick",53998201,-2984408191
"SkCon.Tick",53998201,9671260280
Cre.Tick,53998201,74317882907
CGameWorld::CheckGridInfo,3559,4773133916
CGameWorld::TickActiveGrid,3559,179629895447
CNpcDropMgr::OnTimer,3600,261334
CGameSystemSyncSvr::OnUpdateUserData,3600,6554133
CGameWorld::Tick.TickUser,17794,109961379040
"GS.Business",17794,4674888
"GS.Chat",17794,9057465
CGameCreature::AddUnderling,720,56029
CGameCreature::OnRareShowAttribChanged,2160,2484357
CGameCreature::SetBoss,1440,15589860
CGameCreature::OnPostEnterWorld,2270,6697937
CGameCreature::OnEnterScene,2270,1388662
CGameCreature::OnEnterWorld,2270,20464841
"Npc.Spawn",182300,2695495887
CGameWorld::Tick.Sys,17794,7377370645
CGameWorld::Tick,17794,117355136568
CGameServer::TickFrame1,17794,117380460455
CGameServer::TickFrame3,17791,674800476
"Server.Run.Sleep",2997941,8009367398549
CGameServer::Tick.Other,2997941,18627338702
CGameServer::Tick.Net,2997941,1660161514
CGameWorld::Tick.DestroyObj,2997941,1388640099
CGameWorld::TickNotifyGrid,17793,92054764
CGameServer::TickFrame2,17793,184521330450
CGameServer::Tick.TickFrame,2997941,305230556828
CGameServer::Tick.Base,2997941,244463977002
CGameServer::Tick,2997941,617274085308
"Server.Run",1,8640050413079
