func,call,tick
RC_FinishTask,3,3473532
RC_TraceChange,6,14310
RC_AcceptTask,3,1275501
CGameCreature::OnModelChanged,0,0
game_system,12,4860075
"SkCon.Tick.Forbid",0,0
CGameCreature::RemoveEnemy,1,110
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,2,385
CGameCreature::OnBeAttacked,1,9482
"CGsBattleSvr::Event_CreAttack",1,404
CGameCreature::OnDoAttack,1,4976
"SkCon.Release",23,3970147
CGameCreature::OnTeleport,4,1739
c2s_sys_event,35,108342187
c2s_ghttp,55,74870570
c2s_event,293,61251457
c2s_shortcut,1,41879
CItemContainer::OnTimer,1045,1356857
CGameCreature::OnTimer,2315,7533319
"User.Tick",5169,840729
c2s_select_char,1,4283
c2s_create_char,1,3792065
c2s_relogin,1,47048
CGameCreature::RemoveUnderling,661,245579
CGameCreature::OnLeaveWorld,2327,22589122
CGameCreature::OnLeaveScene,2327,299551
CGameCreature::ClearUnderling,2327,219157
CGameCreature::OnShowAttribChanged,1100,6107195
CGameCreature::ClearEnemy,724,-25714
"FindPath",782359,7629137081
CGameCreature::OnActionEnd,784774,56018151
"SkCon.Tick.Eff",22071,77079987
"Npc.Tick",54082090,60821442113
"CreOp.Tick",54087259,4070054822
CGameCreature::OnActionBegin,784697,1142758078
"Action.Tick",54087259,9646315914
"ObjAi.Tick",54087259,-3372239226
"SkCon.Tick",54087259,6086632741
Cre.Tick,54087259,61177353008
CGameWorld::CheckGridInfo,3559,4399939028
CGameWorld::TickActiveGrid,3559,151338780183
CNpcDropMgr::OnTimer,3600,606683
CGameSystemSyncSvr::OnUpdateUserData,3600,73221930
CGameWorld::Tick.TickUser,17798,85142270511
"GS.Business",17798,3065109
"GS.Chat",17798,5071719
CGameCreature::AddUnderling,722,34291
CGameCreature::OnRareShowAttribChanged,2166,2633364
CGameCreature::SetBoss,1444,15930728
CGameCreature::OnPostEnterWorld,2327,11001556
CGameCreature::OnEnterScene,2327,1296829
CGameCreature::OnEnterWorld,2327,23457259
"Npc.Spawn",189534,3357702974
CGameWorld::Tick.Sys,17798,7919129104
CGameWorld::Tick,17798,93074047400
CGameServer::TickFrame1,17798,93096805216
CGameServer::TickFrame3,17795,798093291
"Server.Run.Sleep",3127740,8046780912117
CGameServer::Tick.Other,3127740,19584862722
CGameServer::Tick.Net,3127740,2402046082
CGameWorld::Tick.DestroyObj,3127740,1414908187
CGameWorld::TickNotifyGrid,17797,290373796
CGameServer::TickFrame2,17797,156057623456
CGameServer::Tick.TickFrame,3127740,252653617354
CGameServer::Tick.Base,3127740,256690538362
CGameServer::Tick,3127740,579166224109
"Server.Run",1,8640042621041
