func,call,tick
c2s_delete_char,1,2216
CGameCreature::OnTimer,20,2398717
CGameCreature::OnRecvHp,2,8794
CGameCreature::ReceiveHp,2,10132
RC_FinishTask,3,3730317
RC_TraceChange,6,14793
RC_AcceptTask,3,1151736
CGameCreature::OnModelChanged,0,0
game_system,12,4989750
"SkCon.Tick.Forbid",100,2653517
CGameCreature::RemoveEnemy,30,20877
CGameCreature::OnDead,30,16636329
CGSGuildWarSvr::Event_CreatureKill,30,6267
CGameCreature::OnKill,30,5649723
CGameCreature::Die,30,22448850
CGameCreature::OnRecvDamage,85,397751
CGameCreature::ReceiveDamage,85,23034488
CGameCreature::ApplyDamage,85,36494
CGameCreature::AddEnemy,257,60475
CGameCreature::OnBeAttacked,86,1280827
"CGsBattleSvr::Event_CreAttack",86,119599
CGameCreature::OnDoAttack,86,2798653
"SkCon.Release",173,17856520
CGameCreature::OnTeleport,9,5097
c2s_sys_event,289,400842182
c2s_ghttp,26,53464673
c2s_event,540,35523130
c2s_shortcut,3,71946
CItemContainer::OnTimer,1618,2351553
CGameCreature::OnTimer,3605,14914623
"User.Tick",8001,1197312
c2s_select_char,1,5231
c2s_create_char,1,27935
c2s_relogin,1,43430
CGameCreature::RemoveUnderling,683,274441
CGameCreature::OnLeaveWorld,2451,28389729
CGameCreature::OnLeaveScene,2453,374815
CGameCreature::ClearUnderling,2451,228966
CGameCreature::OnShowAttribChanged,1521,11627945
CGameCreature::ClearEnemy,740,-28115
"FindPath",789730,7853654745
CGameCreature::OnActionEnd,792459,57587161
"SkCon.Tick.Eff",26542,159697675
"Npc.Tick",54186128,60988517560
"CreOp.Tick",54194129,4078178046
CGameCreature::OnActionBegin,792346,1165195066
"Action.Tick",54194129,9923899417
"ObjAi.Tick",54194129,-3383708023
"SkCon.Tick",54194129,6198535171
Cre.Tick,54194129,61654114738
CGameWorld::CheckGridInfo,3560,4411390411
CGameWorld::TickActiveGrid,3560,151752502556
CNpcDropMgr::OnTimer,3600,632619
CGameSystemSyncSvr::OnUpdateUserData,3600,137250937
CGameWorld::Tick.TickUser,17798,85745835303
"GS.Business",17798,3062344
"GS.Chat",17798,4782934
CGameCreature::AddUnderling,737,63382
CGameCreature::OnRareShowAttribChanged,2221,2639996
CGameCreature::SetBoss,1474,14647478
CGameCreature::OnPostEnterWorld,2453,7101352
CGameCreature::OnEnterScene,2455,1270295
CGameCreature::OnEnterWorld,2453,21169282
"Npc.Spawn",189935,3395868190
CGameWorld::Tick.Sys,17798,7949527126
CGameWorld::Tick,17798,93707945651
CGameServer::TickFrame1,17798,93731591712
CGameServer::TickFrame3,17796,923750824
"Server.Run.Sleep",3129179,8042432948132
CGameServer::Tick.Other,3129179,19697684970
CGameServer::Tick.Net,3129179,2451462010
CGameWorld::Tick.DestroyObj,3129179,1445548021
CGameWorld::TickNotifyGrid,17799,404862641
CGameServer::TickFrame2,17799,156596305646
CGameServer::Tick.TickFrame,3129179,253979046252
CGameServer::Tick.Base,3129179,259471265553
CGameServer::Tick,3129179,583534833187
"Server.Run",1,8640073554905
