func,call,tick
CGameCreature::OnModelChanged,0,0
game_system,0,0
"SkCon.Tick.Forbid",0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
"SkCon.Release",0,0
CGameCreature::OnTeleport,0,0
c2s_sys_event,0,0
c2s_ghttp,0,0
c2s_event,0,0
c2s_shortcut,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
"User.Tick",0,0
c2s_select_char,0,0
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::RemoveUnderling,626,242563
CGameCreature::OnLeaveWorld,2220,20450532
CGameCreature::OnLeaveScene,2220,288402
CGameCreature::ClearUnderling,2220,274734
CGameCreature::OnShowAttribChanged,686,997738
CGameCreature::ClearEnemy,686,-24983
"FindPath",782364,7680320814
CGameCreature::OnActionEnd,784616,55546129
"SkCon.Tick.Eff",17800,16299095
"Npc.Tick",54063674,60853059808
"CreOp.Tick",54063674,4077264016
CGameCreature::OnActionBegin,784582,1136267468
"Action.Tick",54063674,9644647054
"ObjAi.Tick",54063674,-3372978023
"SkCon.Tick",54063674,6042052324
Cre.Tick,54063674,61081004404
CGameWorld::CheckGridInfo,3560,4396805482
CGameWorld::TickActiveGrid,3560,151436962166
CNpcDropMgr::OnTimer,3600,586336
CGameSystemSyncSvr::OnUpdateUserData,3600,5740567
CGameWorld::Tick.TickUser,17798,85217464602
"GS.Business",17798,2773081
"GS.Chat",17798,4783386
CGameCreature::AddUnderling,686,33334
CGameCreature::OnRareShowAttribChanged,2058,2230323
CGameCreature::SetBoss,1372,14208809
CGameCreature::OnPostEnterWorld,2218,5953415
CGameCreature::OnEnterScene,2218,1159883
CGameCreature::OnEnterWorld,2218,19393031
"Npc.Spawn",189375,3340700913
CGameWorld::Tick.Sys,17798,7935174098
CGameWorld::Tick,17798,93165858694
CGameServer::TickFrame1,17798,93189229879
CGameServer::TickFrame3,17797,663090401
"Server.Run.Sleep",3126584,8050788968301
CGameServer::Tick.Other,3126584,19603729660
CGameServer::Tick.Net,3126584,2352249809
CGameWorld::Tick.DestroyObj,3126584,1401825495
CGameWorld::TickNotifyGrid,17798,123430534
CGameServer::TickFrame2,17798,155983850568
CGameServer::Tick.TickFrame,3126584,252522378777
CGameServer::Tick.Base,3126584,252851292131
CGameServer::Tick,3126584,575145312339
"Server.Run",1,8640044108966
