func,call,tick
CGameCreature::OnModelChanged,7,352814
game_system,3,14640
"SkCon.Tick.Forbid",108,2146677
CGameCreature::RemoveEnemy,31,25061
CGameCreature::OnDead,31,15429950
CGSGuildWarSvr::Event_CreatureKill,26,4288
CGameCreature::OnKill,26,291499
CGameCreature::Die,31,15854657
CGameCreature::OnRecvDamage,73,426839
CGameCreature::ReceiveDamage,75,19250436
CGameCreature::ApplyDamage,75,29133
CGameCreature::AddEnemy,237,56019
CGameCreature::OnBeAttacked,82,904538
"CGsBattleSvr::Event_CreAttack",82,77663
CGameCreature::OnDoAttack,82,674318
"SkCon.Release",186,27160236
CGameCreature::OnTeleport,11,3487
c2s_sys_event,268,213227337
c2s_ghttp,44,105247456
c2s_event,1935,92217750
c2s_shortcut,5,106837
CItemContainer::OnTimer,3003,4041086
CGameCreature::OnTimer,6645,35099496
"User.Tick",14855,828001
c2s_select_char,4,17684
c2s_create_char,3,2966343
c2s_relogin,4,210767
CGameCreature::RemoveUnderling,391,118346
CGameCreature::OnLeaveWorld,1411,13199990
CGameCreature::OnLeaveScene,1417,254348
CGameCreature::ClearUnderling,1411,134054
CGameCreature::OnShowAttribChanged,859,27355606
CGameCreature::ClearEnemy,491,-12383
"FindPath",491710,4258351436
CGameCreature::OnActionEnd,508826,35633644
"SkCon.Tick.Eff",25595,138373381
"Npc.Tick",33707263,38053851653
"CreOp.Tick",33722118,2544386070
CGameCreature::OnActionBegin,508366,808932479
"Action.Tick",33722118,5700062819
"ObjAi.Tick",33722118,-2097583817
"SkCon.Tick",33722118,3938844301
Cre.Tick,33722118,38232084262
CGameWorld::CheckGridInfo,2235,2619277590
CGameWorld::TickActiveGrid,2235,93900336845
CNpcDropMgr::OnTimer,2261,416637
CGameSystemSyncSvr::OnUpdateUserData,2261,94627845
CGameWorld::Tick.TickUser,11173,53242683108
"GS.Business",11173,1794284
"GS.Chat",11173,3405724
CGameCreature::AddUnderling,471,33288
CGameCreature::OnRareShowAttribChanged,1382,3605215
CGameCreature::SetBoss,889,10840499
CGameCreature::OnPostEnterWorld,16478,32862925
CGameCreature::OnEnterScene,16484,4895524
CGameCreature::OnEnterWorld,16478,78928168
"Npc.Spawn",118278,2401229874
CGameWorld::Tick.Sys,11173,5203019762
CGameWorld::Tick,11173,58453140098
CGameServer::TickFrame1,11173,58467521679
CGameServer::TickFrame3,11172,667651510
"Server.Run.Sleep",1963620,5045071670952
CGameServer::Tick.Other,1963621,12315218918
CGameServer::Tick.Net,1963621,1678628276
CGameWorld::Tick.DestroyObj,1963621,887227666
CGameWorld::TickNotifyGrid,11174,453303249
CGameServer::TickFrame2,11174,96991731097
CGameServer::Tick.TickFrame,1963621,157819403614
CGameServer::Tick.Base,1963621,169581995378
CGameServer::Tick,1963621,371407851451
"Server.Run",1,5425323431930
