sent,id,cnt,size,ccnt,csize,1621527729,1621530000
base,20,806,12096,806,12096
base,1001,4,12,4,12
base,1002,7,856,7,856
base,1003,4,1664,4,1664
base,1005,3,9,3,9
base,1013,62,67881,62,67881
base,1015,4,136,4,136
base,1016,776,17848,962,22126
base,1017,178,4776,296,8149
base,1019,4,24,4,24
base,1022,51,306,51,306
base,1026,2804,92318,2812,92458
sys,11,10,250,10,250
sys,12,564,141445,564,141445
sys,14,479,9678,479,9678
sys,15,29,413,54,852
sys,16,56,2408,89,3599
sys,17,267,3204,356,4272
sys,18,7,287,12,492
sys,21,6,30,6,30
sys,22,8,115,13,185
sys,24,77,1771,177,4071
sys,25,50,990,50,990
sys,26,2,200,2,200
sys,27,2,22,2,22
sys,40,2,45,6,135
sys,81,4,1084,4,1084
sys,86,28,42978,28,42978
sys,101,4,1000,4,1000
sys,201,4,20,4,20
sys,301,4,72,4,72
sys,1504,4,68,4,68
ev,42,3,12,3,12
ev,56,26,1118,26,1118
ev,64,5,40,14,112
ev,301,3,27,4,36
ev,302,399,3591,451,4059
ev,369,31,744,48,1152
ev,370,66,528,116,928
ev,371,66,528,116,928
ev,373,138,690,138,690
ev,509,403,8060,403,8060
ev,510,4,28,4,28
ev,557,30,240,30,240
ev,564,3,54,3,54
ev,568,2,10,2,10
