func,call,tick
CGameCreature::OnModelChanged,0,0
game_system,0,0
"SkCon.Tick.Forbid",0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
"SkCon.Release",0,0
CGameCreature::OnTeleport,0,0
c2s_sys_event,0,0
c2s_ghttp,0,0
c2s_event,0,0
c2s_shortcut,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
"User.Tick",0,0
c2s_select_char,0,0
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::RemoveUnderling,656,326506
CGameCreature::OnLeaveWorld,2321,21889873
CGameCreature::OnLeaveScene,2321,287734
CGameCreature::ClearUnderling,2321,210079
CGameCreature::OnShowAttribChanged,720,957156
CGameCreature::ClearEnemy,720,-27213
"FindPath",782624,7551906403
CGameCreature::OnActionEnd,784999,55928744
"SkCon.Tick.Eff",17795,16582555
"Npc.Tick",54047969,60751326988
"CreOp.Tick",54047969,4086690733
CGameCreature::OnActionBegin,784948,1131765938
"Action.Tick",54047969,9529434550
"ObjAi.Tick",54047969,-3405514781
"SkCon.Tick",54047969,5910250576
Cre.Tick,54047969,60915349495
CGameWorld::CheckGridInfo,3559,4417652834
CGameWorld::TickActiveGrid,3559,151207938835
CNpcDropMgr::OnTimer,3600,587170
CGameSystemSyncSvr::OnUpdateUserData,3600,5714657
CGameWorld::Tick.TickUser,17797,85149404452
"GS.Business",17797,3160605
"GS.Chat",17797,4623116
CGameCreature::AddUnderling,720,110529
CGameCreature::OnRareShowAttribChanged,2160,2406948
CGameCreature::SetBoss,1440,15032985
CGameCreature::OnPostEnterWorld,2324,6283594
CGameCreature::OnEnterScene,2324,1265782
CGameCreature::OnEnterWorld,2324,20418442
"Npc.Spawn",189557,3347522005
CGameWorld::Tick.Sys,17797,7926962770
CGameWorld::Tick,17797,93089721246
CGameServer::TickFrame1,17797,93113332023
CGameServer::TickFrame3,17797,670194193
"Server.Run.Sleep",3131882,8051224340534
CGameServer::Tick.Other,3131882,19585046837
CGameServer::Tick.Net,3131882,2356676589
CGameWorld::Tick.DestroyObj,3131882,1408898741
CGameWorld::TickNotifyGrid,17797,128280240
CGameServer::TickFrame2,17797,155781781252
CGameServer::Tick.TickFrame,3131882,252259820169
CGameServer::Tick.Base,3131882,252680806380
CGameServer::Tick,3131882,574711438458
"Server.Run",1,8640026710571
