func,call,tick
CGameCreature::OnModelChanged,0,0
game_system,0,0
"SkCon.Tick.Forbid",0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
"SkCon.Release",0,0
CGameCreature::OnTeleport,0,0
c2s_sys_event,0,0
c2s_ghttp,0,0
c2s_event,0,0
c2s_shortcut,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
"User.Tick",0,0
c2s_select_char,0,0
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::RemoveUnderling,645,313695
CGameCreature::OnLeaveWorld,37355,104427433
CGameCreature::OnLeaveScene,37355,2763475
CGameCreature::ClearUnderling,37355,5161042
CGameCreature::OnShowAttribChanged,724,946154
CGameCreature::ClearEnemy,724,-28504
"FindPath",779703,6660280005
CGameCreature::OnActionEnd,817099,55863533
"SkCon.Tick.Eff",17800,16762373
"Npc.Tick",55130755,61238826014
"CreOp.Tick",55130755,4140189386
CGameCreature::OnActionBegin,817062,1171018566
"Action.Tick",55130755,8660690456
"ObjAi.Tick",55130755,-3460007179
"SkCon.Tick",55130755,6130199840
Cre.Tick,55130755,61092117629
CGameWorld::CheckGridInfo,3560,4498617883
CGameWorld::TickActiveGrid,3560,152518353136
CNpcDropMgr::OnTimer,3600,570485
CGameSystemSyncSvr::OnUpdateUserData,3600,5622790
CGameWorld::Tick.TickUser,17797,86873895560
"GS.Business",17797,3505403
"GS.Chat",17797,4480243
CGameCreature::AddUnderling,722,40240
CGameCreature::OnRareShowAttribChanged,2166,2418054
CGameCreature::SetBoss,1444,14978189
CGameCreature::OnPostEnterWorld,37360,41211860
CGameCreature::OnEnterScene,37360,8862143
CGameCreature::OnEnterWorld,37360,193052759
"Npc.Spawn",196386,5291923313
CGameWorld::Tick.Sys,17797,9875765607
CGameWorld::Tick,17797,96763387465
CGameServer::TickFrame1,17797,96786754834
CGameServer::TickFrame3,17795,680358183
"Server.Run.Sleep",3129861,8044558737959
CGameServer::Tick.Other,3129861,19597138577
CGameServer::Tick.Net,3129861,2361423163
CGameWorld::Tick.DestroyObj,3129861,3327931661
CGameWorld::TickNotifyGrid,17798,128794567
CGameServer::TickFrame2,17798,157173543989
CGameServer::Tick.TickFrame,3129861,259252674400
CGameServer::Tick.Base,3129861,252478610986
CGameServer::Tick,3129861,581415538575
"Server.Run",1,8640051288194
