func,call,tick
CGameCreature::OnModelChanged,0,0
game_system,0,0
"SkCon.Tick.Forbid",0,0
CGameCreature::RemoveEnemy,0,0
CGameCreature::OnDead,0,0
CGSGuildWarSvr::Event_CreatureKill,0,0
CGameCreature::OnKill,0,0
CGameCreature::Die,0,0
CGameCreature::OnRecvDamage,0,0
CGameCreature::ReceiveDamage,0,0
CGameCreature::ApplyDamage,0,0
CGameCreature::AddEnemy,0,0
CGameCreature::OnBeAttacked,0,0
"CGsBattleSvr::Event_CreAttack",0,0
CGameCreature::OnDoAttack,0,0
"SkCon.Release",0,0
CGameCreature::OnTeleport,0,0
c2s_sys_event,0,0
c2s_ghttp,0,0
c2s_event,0,0
c2s_shortcut,0,0
CItemContainer::OnTimer,0,0
CGameCreature::OnTimer,0,0
"User.Tick",0,0
c2s_select_char,0,0
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::RemoveUnderling,662,222982
CGameCreature::OnLeaveWorld,2274,8669238
CGameCreature::OnLeaveScene,2274,276477
CGameCreature::ClearUnderling,2274,207273
CGameCreature::OnShowAttribChanged,722,938161
CGameCreature::ClearEnemy,722,-28961
"FindPath",782757,7219106931
CGameCreature::OnActionEnd,785056,56497424
"SkCon.Tick.Eff",17795,16301653
"Npc.Tick",54030168,60737207001
"CreOp.Tick",54030168,4076552157
CGameCreature::OnActionBegin,785029,1132487690
"Action.Tick",54030168,9168091065
"ObjAi.Tick",54030168,-3353679951
"SkCon.Tick",54030168,6050498385
Cre.Tick,54030168,60540658839
CGameWorld::CheckGridInfo,3559,4398095855
CGameWorld::TickActiveGrid,3559,150764896470
CNpcDropMgr::OnTimer,3600,569815
CGameSystemSyncSvr::OnUpdateUserData,3600,5781305
CGameWorld::Tick.TickUser,17798,84656020435
"GS.Business",17798,2820306
"GS.Chat",17798,5199866
CGameCreature::AddUnderling,722,26083
CGameCreature::OnRareShowAttribChanged,2166,2364942
CGameCreature::SetBoss,1444,14823596
CGameCreature::OnPostEnterWorld,2272,6331997
CGameCreature::OnEnterScene,2272,1245932
CGameCreature::OnEnterWorld,2272,18655757
"Npc.Spawn",189495,3329244424
CGameWorld::Tick.Sys,17798,7903826108
CGameWorld::Tick,17798,92573040653
CGameServer::TickFrame1,17798,92596541348
CGameServer::TickFrame3,17797,671146274
"Server.Run.Sleep",3133276,8051882153704
CGameServer::Tick.Other,3133276,19632163140
CGameServer::Tick.Net,3133276,2361222031
CGameWorld::Tick.DestroyObj,3133276,1390312142
CGameWorld::TickNotifyGrid,17797,131398516
CGameServer::TickFrame2,17797,155322950659
CGameServer::Tick.TickFrame,3133276,251272727211
CGameServer::Tick.Base,3133276,252907038381
CGameServer::Tick,3133276,574057135323
"Server.Run",1,8640039812216
