func,call,tick
CGameCreature::OnModelChanged,0,0
game_system,0,0
"SkCon.Tick.Forbid",12,212658
CGameCreature::RemoveEnemy,198,112395
CGameCreature::OnDead,196,34641548
CGSGuildWarSvr::Event_CreatureKill,196,-5377
CGameCreature::OnKill,196,599603
CGameCreature::Die,196,35959907
CGameCreature::OnRecvDamage,354,710940
CGameCreature::ReceiveDamage,360,37094365
CGameCreature::ApplyDamage,355,77217
CGameCreature::AddEnemy,1066,258759
CGameCreature::OnBeAttacked,356,1706020
"CGsBattleSvr::Event_CreAttack",356,4020408
CGameCreature::OnDoAttack,356,4589386
"SkCon.Release",151,5694665
CGameCreature::OnTeleport,16,4418
c2s_sys_event,75,61592076
c2s_ghttp,77,99725608
c2s_event,1089,135188038
c2s_shortcut,0,0
CItemContainer::OnTimer,2097,3231067
CGameCreature::OnTimer,4651,7257116
"User.Tick",10369,1130897
c2s_select_char,0,0
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::RemoveUnderling,663,476964
CGameCreature::OnLeaveWorld,2637,18659061
CGameCreature::OnLeaveScene,2642,369469
CGameCreature::ClearUnderling,2637,257553
CGameCreature::OnShowAttribChanged,837,3599427
CGameCreature::ClearEnemy,773,-11411
"FindPath",782956,6937383098
CGameCreature::OnActionEnd,786229,58722427
"SkCon.Tick.Eff",28164,188338710
"Npc.Tick",54145756,61419753608
"CreOp.Tick",54156125,4137548092
CGameCreature::OnActionBegin,785998,1180425239
"Action.Tick",54156125,9100764892
"ObjAi.Tick",54156125,-3348752435
"SkCon.Tick",54156125,6202094006
Cre.Tick,54156125,61221595102
CGameWorld::CheckGridInfo,3559,4461545069
CGameWorld::TickActiveGrid,3559,151592298577
CNpcDropMgr::OnTimer,3600,624783
CGameSystemSyncSvr::OnUpdateUserData,3600,59028372
CGameWorld::Tick.TickUser,17796,85802948665
"GS.Business",17796,3859136
"GS.Chat",17796,5140529
CGameCreature::AddUnderling,722,36415
CGameCreature::OnRareShowAttribChanged,2217,3366270
CGameCreature::SetBoss,1444,15943625
CGameCreature::OnPostEnterWorld,2665,6791819
CGameCreature::OnEnterScene,2670,1447173
CGameCreature::OnEnterWorld,2665,19952501
"Npc.Spawn",186170,2997452490
CGameWorld::Tick.Sys,17796,7650490519
CGameWorld::Tick,17796,93465988777
CGameServer::TickFrame1,17796,93489107450
CGameServer::TickFrame3,17795,794361627
"Server.Run.Sleep",3129028,8039190027637
CGameServer::Tick.Other,3129028,19819155725
CGameServer::Tick.Net,3129028,2489991547
CGameWorld::Tick.DestroyObj,3129028,1416930460
CGameWorld::TickNotifyGrid,17797,486907164
CGameServer::TickFrame2,17797,156569172995
CGameServer::Tick.TickFrame,3129028,253555306175
CGameServer::Tick.Base,3129028,262504702231
CGameServer::Tick,3129028,586631964698
"Server.Run",1,8640042055046
